"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1001V","Population on the 1st of January, total","","DE1001V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1002V","Population on the 1st of January, male","","DE1002V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1003V","Population on the 1st of January, female","","DE1003V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1067V","Total Resident Population 0-2","","DE1067V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1068V","Male Resident Population 0-2","","DE1068V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1069V","Female Resident Population 0-2","","DE1069V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1070V","Total Resident Population 3-4","","DE1070V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1071V","Male Resident Population 3-4","","DE1071V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1072V","Female Resident Population 3-4","","DE1072V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1040V","Population on the 1st of January, 0-4 years, total","","DE1040V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1041V","Population on the 1st of January, 0-4 years, male","","DE1041V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1042V","Population on the 1st of January, 0-4 years, female","","DE1042V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1043V","Total Resident Population 5-14","","DE1043V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1044V","Male Resident Population 5-14","","DE1044V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1045V","Female Resident Population 5-14","","DE1045V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1046V","Population on the 1st of January, 15-19 years, total","","DE1046V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1047V","Population on the 1st of January, 15-19 years, male","","DE1047V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1048V","Population on the 1st of January, 15-19 years, female","","DE1048V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1049V","Population on the 1st of January, 20-24 years, total","","DE1049V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1050V","Population on the 1st of January, 20-24 years, male","","DE1050V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1051V","Population on the 1st of January, 20-24 years, female","","DE1051V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1052V","Total Resident Population 25-54","","DE1052V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1053V","Male Resident Population 25-54","","DE1053V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1054V","Female Resident Population 25-54","","DE1054V","invalid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1058V","Population on the 1st of January, 25-34 years, total","","DE1058V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1059V","Population on the 1st of January, 25-34 years, male","","DE1059V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1060V","Population on the 1st of January, 25-34 years, female","","DE1060V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1061V","Population on the 1st of January, 35-44 years, total","","DE1061V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1062V","Population on the 1st of January, 35-44 years, male","","DE1062V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1063V","Population on the 1st of January, 35-44 years, female","","DE1063V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1064V","Population on the 1st of January, 45-54 years, total","","DE1064V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1065V","Population on the 1st of January, 45-54 years, male","","DE1065V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1066V","Population on the 1st of January, 45-54 years, female","","DE1066V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1073V","Median population age","","DE1073V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1025V","Population on the 1st of January, 55-64 years, total","","DE1025V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1026V","Population on the 1st of January, 55-64 years, male","","DE1026V","valid","2013-09-04"
"http://dd.eionet.europa.eu/vocabulary/eurostat/indic_ur/DE1027V","Population on the 1st of January, 55-64 years, female","","DE1027V","valid","2013-09-04"
