course_id,semester,name
0003,19W,Grundlagen der Volkswirtschaftslehre
0006,19W,Grundlagen der Volkswirtschaftslehre
0140,19W,Sozial- und wirtschaftswissenschaftliche Informationssysteme
0350,19W,Fremdsprachliche Wirtschaftskommunikation II - Englisch
0474,19W,Einführung in die Betriebswirtschaftslehre
0533,19W,Grundlagen wissenschaftlichen Arbeitens
0621,19W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0853,19W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0983,19W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0984,19W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
0987,19W,Fremdsprachliche Wirtschaftskommunikation I - Englisch
1629,19W,Mathematik
1630,19W,Grundlagen der Volkswirtschaftslehre
1631,19W,Einführung in die Betriebswirtschaftslehre
1632,19W,Statistik
1633,19W,Wirtschafts- und Finanzpolitik für Jurist/inn/en
1635,19W,Öffentliches Wirtschaftsrecht
1636,19W,Statistik
1637,19W,Internationale Makroökonomik
1638,19W,Internationale Makroökonomik
1639,19W,Angewandte Mikroökonomik
1640,19W,Applied Microeconomics
1643,19W,Fremdsprachliche Wirtschaftskommunikation II - Französisch
1644,19W,Fremdsprachliche Wirtschaftskommunikation I - Spanisch
1645,19W,Fremdsprachliche Wirtschaftskommunikation I - Italienisch
1646,19W,Integrierte Fallstudien zum österreichischen und europäischen Verfassungs- und allgemeinen Verwaltungsrecht
1647,19W,Fremdsprachliche Wirtschaftskommunikation I - Französisch
1648,19W,Betriebliche Informationssysteme II
1649,19W,Betriebliche Informationssysteme II
1657,19W,Wirtschafts- und Finanzpolitik
1737,19W,Integrierte Fallstudien zum Verwaltungsverfahren und Rechtsschutz
1788,19W,Grundlagen rechtswissenschaftlichen Arbeitens
1797,19W,Grundzüge des Sozialrechts
1798,19W,Accounting & Management Control III
1800,19W,Wirtschaft im rechtlichen Kontext - Wirtschaftsprivatrecht I
1828,19W,Angewandte Mikroökonomik
1998,19W,Accounting & Management Control III
1999,19W,Accounting & Management Control III
2042,19W,Applied Microeconomics
2043,19W,Applied Microeconomics
2058,19W,Wirtschafts- und Finanzpolitik
2098,19W,Wirtschaft im rechtlichen Kontext - Europäisches und öffentliches Wirtschaftsrecht I
2104,19W,Computational Online Advertising
2148,19W,E&I Zone 3 / K5 - FBI Kurs V: FinTech & Blockchain Lab
2209,19W,Wirtschaftsprivatrecht II
2224,19W,Accounting & Management Control II
2231,19W,Strategisches Management
2267,19W,Grundlagen des öffentlichen Rechts
2279,19W,Accounting & Management Control III
2280,19W,Accounting & Management Control III
8001,19W,PMBA Entrepreneurship & Innovation 18/20 - Sources of Innovation
8002,19W,PMBA Entrepreneurship & Innovation 18/20 - Strategy of Innovation
8003,19W,PMBA Entrepreneurship & Innovation 18/20 - Marketing of Innovation
8004,19W,PMBA Entrepreneurship & Innovation 18/20 - Organization of Innovation
