pid,name,date_of_birth,date_of_death
4724,Le Corbusier,1887-10-06T00:00:00Z,1965-08-27T00:00:00Z
5604,Frank Lloyd Wright,1867-06-08T00:00:00Z,1959-04-09T00:00:00Z
5600,Mimar Sinan,1489-04-24T00:00:00Z,1588-07-17T00:00:00Z
762,Leonardo da Vinci,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z
23,George Washington,1732-02-22T00:00:00Z,1799-12-14T00:00:00Z
8053,Jules Hardouin-Mansart,1646-04-16T00:00:00Z,1708-05-11T00:00:00Z
1429,Antoninus Pius,0086-09-17T00:00:00Z,0161-03-06T00:00:00Z
930,Konstantin Melnikov,1890-08-03T00:00:00Z,1974-11-28T00:00:00Z
1544,Tony Garnier,1869-08-13T00:00:00Z,1948-01-19T00:00:00Z
3165,Conrad Wahn,1851-01-01T00:00:00Z,1927-01-01T00:00:00Z
8620,Kwame Nkrumah,1909-09-21T00:00:00Z,1972-04-27T00:00:00Z
8867,Gae Aulenti,1927-12-04T00:00:00Z,2012-10-31T00:00:00Z
8589,Ashoka,-0303-01-01T00:00:00Z,-0231-01-01T00:00:00Z
9424,Jack Nicklaus,1940-01-21T00:00:00Z,
11812,Thomas Jefferson,1743-04-13T00:00:00Z,1826-07-04T00:00:00Z
10520,David Beckham,1975-05-02T00:00:00Z,
12750,Josep Puig i Cadafalch,1867-10-17T00:00:00Z,1956-12-23T00:00:00Z
5585,Giovanni Giocondo,1433-01-01T00:00:00Z,1515-07-11T00:00:00Z
5588,Frida Kahlo,1907-07-06T00:00:00Z,1954-07-13T00:00:00Z
5592,Michelangelo,1475-03-15T00:00:00Z,1564-02-28T00:00:00Z
5547,Antonio Canova,1757-11-01T00:00:00Z,1822-10-13T00:00:00Z
44323,Adolf Loos,1870-12-10T00:00:00Z,1933-08-23T00:00:00Z
5597,Raphael,1483-04-15T00:00:00Z,1520-04-16T00:00:00Z
5597,Raphael,1483-04-06T00:00:00Z,1520-04-16T00:00:00Z
44911,Joseph Maria Olbrich,1867-12-22T00:00:00Z,1908-08-08T00:00:00Z
44911,Joseph Maria Olbrich,1867-11-22T00:00:00Z,1908-08-08T00:00:00Z
12754,Joan Abril i Guanyabens,1853-04-01T00:00:00Z,1939-07-18T00:00:00Z
12754,Joan Abril i Guanyabens,1852-01-01T00:00:00Z,1939-07-18T00:00:00Z
45011,Aarno Ruusuvuori,1925-01-14T00:00:00Z,1992-02-22T00:00:00Z
45399,Georg von Hauberrisser,1841-03-19T00:00:00Z,1922-05-17T00:00:00Z
45399,Georg von Hauberrisser,1841-03-09T00:00:00Z,1922-05-17T00:00:00Z
46123,Tomasz Pajzderski,1864-02-16T00:00:00Z,1908-11-20T00:00:00Z
46408,Georgia O'Keeffe,1887-11-15T00:00:00Z,1986-03-06T00:00:00Z
46126,Uladzimir Karoĺ,1912-12-27T00:00:00Z,1980-05-28T00:00:00Z
46868,I. M. Pei,1917-04-26T00:00:00Z,2019-05-16T00:00:00Z
5599,Peter Paul Rubens,1577-07-08T00:00:00Z,1640-05-30T00:00:00Z
46830,Robert Hooke,1635-07-28T00:00:00Z,1703-03-03T00:00:00Z
65847,Hermann Helmer,1849-07-13T00:00:00Z,1919-04-02T00:00:00Z
13374,Heorhiy V. Zaborsky,1909-11-11T00:00:00Z,1999-03-27T00:00:00Z
65901,Georg Wenzeslaus von Knobelsdorff,1699-02-17T00:00:00Z,1753-09-16T00:00:00Z
61332,Peter Parler,1330-01-01T00:00:00Z,1399-07-13T00:00:00Z
61259,Theodor Fischer,1862-05-28T00:00:00Z,1938-12-25T00:00:00Z
61259,Theodor Fischer,1862-05-28T00:00:00Z,1938-10-25T00:00:00Z
65910,Peter Joseph Lenné,1789-09-29T00:00:00Z,1866-01-23T00:00:00Z
19167,Vincenzo Brenna,1747-08-20T00:00:00Z,1820-05-17T00:00:00Z
13384,Vaĺmien Aladaŭ,1930-02-12T00:00:00Z,2021-11-02T00:00:00Z
13387,Iosif Langbard,1882-01-18T00:00:00Z,1951-01-03T00:00:00Z
66113,Friedrich Adler,1827-10-15T00:00:00Z,1908-09-15T00:00:00Z
66108,Ernst Ziller,1837-06-22T00:00:00Z,1923-01-01T00:00:00Z
17919,Wolff Schoemaker,1882-07-25T00:00:00Z,1949-05-22T00:00:00Z
17919,Wolff Schoemaker,1882-07-25T00:00:00Z,1949-01-01T00:00:00Z
13382,Henryk Julian Gay,1875-01-10T00:00:00Z,1936-10-03T00:00:00Z
13388,Michael Osipovich Barshch,1904-01-29T00:00:00Z,1976-11-08T00:00:00Z
17790,Kangxi Emperor,1654-05-04T00:00:00Z,1722-12-20T00:00:00Z
13390,Navum Trakhtenberg,1910-01-04T00:00:00Z,1977-10-16T00:00:00Z
61342,Gottfried Semper,1803-11-29T00:00:00Z,1879-05-15T00:00:00Z
97698,Hubert Ritter,1886-01-01T00:00:00Z,1967-01-01T00:00:00Z
97829,Ernst Georg Sonnin,1713-06-10T00:00:00Z,1794-07-08T00:00:00Z
66149,Friedrich von Gärtner,1791-12-10T00:00:00Z,1847-04-21T00:00:00Z
84312,Richard Neutra,1892-04-08T00:00:00Z,1970-04-16T00:00:00Z
19165,Antonio Rinaldi,1710-08-25T00:00:00Z,1794-04-10T00:00:00Z
84473,Georg Friedrich Ziebland,1800-02-07T00:00:00Z,1873-07-24T00:00:00Z
84473,Georg Friedrich Ziebland,1800-02-01T00:00:00Z,1873-07-24T00:00:00Z
97476,John William Gerard de Brahm,1717-01-01T00:00:00Z,1799-01-01T00:00:00Z
97565,Max Spitta,1842-01-01T00:00:00Z,1902-01-01T00:00:00Z
97133,Rudolf Schwarz,1897-05-15T00:00:00Z,1961-04-03T00:00:00Z
97001,Johann Heinrich Gustav Meyer,1816-01-14T00:00:00Z,1877-05-27T00:00:00Z
98539,Hansjörg Göritz,1959-06-05T00:00:00Z,
97388,Stephan Braunfels,1950-08-01T00:00:00Z,
97434,Ferdinand Kramer,1898-01-22T00:00:00Z,1985-11-04T00:00:00Z
97135,Rolf Disch,1944-01-24T00:00:00Z,
99324,Paul Baumgarten,1900-05-05T00:00:00Z,1984-01-01T00:00:00Z
99324,Paul Baumgarten,1900-05-05T00:00:00Z,1984-10-08T00:00:00Z
99324,Paul Baumgarten,1900-01-01T00:00:00Z,1984-01-01T00:00:00Z
99324,Paul Baumgarten,1900-01-01T00:00:00Z,1984-10-08T00:00:00Z
61349,Johann Balthasar Neumann,1687-01-27T00:00:00Z,1753-08-19T00:00:00Z
66490,Hermann Henselmann,1905-02-03T00:00:00Z,1995-01-19T00:00:00Z
99235,Eugen Gugel,1832-03-26T00:00:00Z,1905-05-21T00:00:00Z
20882,Gustave Eiffel,1832-12-15T00:00:00Z,1923-12-27T00:00:00Z
66359,Werner March,1894-01-17T00:00:00Z,1976-01-11T00:00:00Z
98169,Albrecht Haupt,1852-03-18T00:00:00Z,1932-10-27T00:00:00Z
98111,Paul Mebes,1872-01-23T00:00:00Z,1938-04-09T00:00:00Z
98329,Christian Friedrich Schuricht,1753-03-05T00:00:00Z,1832-08-02T00:00:00Z
98171,Heinrich Wagner,1834-01-01T00:00:00Z,1897-01-01T00:00:00Z
98519,Arwed Roßbach,1844-11-24T00:00:00Z,1902-12-31T00:00:00Z
99299,Karl-Heinz Schommer,1953-01-01T00:00:00Z,
61965,Kilián Ignaz Dientzenhofer,1690-09-01T00:00:00Z,1751-12-18T00:00:00Z
61965,Kilián Ignaz Dientzenhofer,1689-09-01T00:00:00Z,1751-12-18T00:00:00Z
61892,Max Taut,1884-01-01T00:00:00Z,1967-01-01T00:00:00Z
66464,Juan de Colonia,1410-01-01T00:00:00Z,1481-01-01T00:00:00Z
84507,Johann Lukas von Hildebrandt,1668-11-14T00:00:00Z,1745-11-16T00:00:00Z
84507,Johann Lukas von Hildebrandt,1668-11-04T00:00:00Z,1745-11-16T00:00:00Z
99186,Pieszko,1350-01-01T00:00:00Z,1371-01-01T00:00:00Z
98909,Paul Böhm,1959-01-01T00:00:00Z,
98689,Karl Ludwig Wilhelm Zanth,1796-08-06T00:00:00Z,1857-10-07T00:00:00Z
96901,Christoph Hackner,1663-03-16T00:00:00Z,1741-04-02T00:00:00Z
96787,Martin Dülfer,1859-01-01T00:00:00Z,1942-12-21T00:00:00Z
96956,Otto Warth,1845-11-21T00:00:00Z,1918-11-05T00:00:00Z
96793,Oskar Mothes,1828-01-01T00:00:00Z,1903-01-01T00:00:00Z
98559,Hans Grisebach,1848-07-26T00:00:00Z,1904-05-11T00:00:00Z
61622,Ernst May,1886-07-27T00:00:00Z,1970-09-11T00:00:00Z
66481,Ferdinand von Arnim,1814-09-15T00:00:00Z,1866-03-23T00:00:00Z
66724,Benedikt Rejt,1454-01-01T00:00:00Z,1536-01-01T00:00:00Z
66724,Benedikt Rejt,1454-01-01T00:00:00Z,1534-10-30T00:00:00Z
67031,Ole Scheeren,1971-01-01T00:00:00Z,
99362,Johann Wilhelm Schwedler,1823-06-28T00:00:00Z,1894-06-09T00:00:00Z
84588,Joseph Emanuel Fischer von Erlach,1693-09-13T00:00:00Z,1742-06-29T00:00:00Z
66169,George Bähr,1666-03-15T00:00:00Z,1738-03-16T00:00:00Z
66855,Richard Cassels,1690-01-01T00:00:00Z,1751-02-19T00:00:00Z
66677,Bruno Paul,1874-01-19T00:00:00Z,1968-08-17T00:00:00Z
66558,Lazarus von Schwendi,1522-01-01T00:00:00Z,1583-05-28T00:00:00Z
66558,Lazarus von Schwendi,1522-01-01T00:00:00Z,1583-05-27T00:00:00Z
66726,Ernst Neufert,1900-03-15T00:00:00Z,1986-02-23T00:00:00Z
99421,Hugo Eberhardt,1874-01-01T00:00:00Z,1959-04-08T00:00:00Z
99468,Jakob Heilmann,1475-01-01T00:00:00Z,1523-01-01T00:00:00Z
99481,August Exter,1858-01-01T00:00:00Z,1933-01-01T00:00:00Z
84541,Karl von Hasenauer,1833-07-20T00:00:00Z,1894-01-04T00:00:00Z
99652,Jean-Baptiste Métivier,1781-04-01T00:00:00Z,1853-10-15T00:00:00Z
