cid1,cid2,l1,l2
16,30,Canada,United States of America
211,191,Latvia,Estonia
17,30,Japan,United States of America
774,242,Guatemala,Belize
211,159,Latvia,Russia
16,34617,Canada,Saint Pierre and Miquelon
760,717,Saint Lucia,Venezuela
16,223,Canada,Greenland
96,774,Mexico,Guatemala
917,668,Bhutan,India
836,148,Myanmar,People's Republic of China
36,214,Poland,Slovakia
921,833,Brunei,Malaysia
917,8733,Bhutan,Qing dynasty
833,2223,Malaysia,Riau Islands
836,819,Myanmar,Laos
917,17269,Bhutan,Tibet
836,869,Myanmar,Thailand
17,159,Japan,Russia
17,148,Japan,People's Republic of China
252,691,Indonesia,Papua New Guinea
836,668,Myanmar,India
114,115,Kenya,Ethiopia
114,924,Kenya,Tanzania
211,184,Latvia,Belarus
774,96,Guatemala,Mexico
763,717,Saint Kitts and Nevis,Venezuela
836,902,Myanmar,Bangladesh
212,36,Ukraine,Poland
774,783,Guatemala,Honduras
836,1502,Myanmar,Mizoram
36,33946,Poland,Czechoslovakia
16,38610,Canada,Dominion of Newfoundland
774,792,Guatemala,El Salvador
924,114,Tanzania,Kenya
252,695,Indonesia,Palau
37,36,Lithuania,Poland
924,967,Tanzania,Burundi
252,833,Indonesia,Malaysia
114,1036,Kenya,Uganda
16,756617,Canada,Kingdom of Denmark
16,738395,Canada,Rupert's Land
212,184,Ukraine,Belarus
36,756617,Poland,Kingdom of Denmark
924,970,Tanzania,Comoros
17,884,Japan,South Korea
924,953,Tanzania,Zambia
924,1020,Tanzania,Malawi
36,15180,Poland,Soviet Union
252,869,Indonesia,Thailand
924,1029,Tanzania,Mozambique
37,184,Lithuania,Belarus
17,865,Japan,Taiwan
769,717,Grenada,Venezuela
212,28,Ukraine,Hungary
114,958,Kenya,South Sudan
16,1152445,Canada,Aerican Empire
16,2514958,Canada,Colony of British Columbia
924,974,Tanzania,Democratic Republic of the Congo
37,159,Lithuania,Russia
837,148,Nepal,People's Republic of China
17,15180,Japan,Soviet Union
37,211,Lithuania,Latvia
774,105375559,Guatemala,Western Zone of El Salvador
774,19464773,Guatemala,Northern America and Mexico
17,928,Japan,Philippines
37,7318,Lithuania,Nazi Germany
837,668,Nepal,India
783,774,Honduras,Guatemala
924,1037,Tanzania,Rwanda
924,1042,Tanzania,Seychelles
924,5505,Tanzania,Lake Nyanza
114,5505,Kenya,Lake Nyanza
837,17269,Nepal,Tibet
783,811,Honduras,Nicaragua
38,39,Italy,Switzerland
784,717,Dominica,Venezuela
252,881,Indonesia,Vietnam
837,7261660,Nepal,Purvanchal
786,790,Dominican Republic,Haiti
842,613,Oman,Emirate of Dubai
924,1036,Tanzania,Uganda
212,218,Ukraine,Romania
212,214,Ukraine,Slovakia
783,792,Honduras,El Salvador
114,7172,Kenya,Arab League
783,1005750,Honduras,La Unión
783,991400,Honduras,Puerto Barrios
114,1049,Kenya,Sudan
928,252,Philippines,Indonesia
38,142,Italy,France
928,17,Philippines,Japan
778,30,The Bahamas,United States of America
212,458,Ukraine,European Union
212,159,Ukraine,Russia
928,833,Philippines,Malaysia
17,28419012,Japan,Gad-Avia
258,1013,South Africa,Lesotho
842,805,Oman,Yemen
212,217,Ukraine,Moldova
783,1020130,Honduras,Los Amates
783,105374668,Honduras,Eastern Zone of El Salvador
114,1045,Kenya,Somalia
38,233,Italy,Malta
252,928,Indonesia,Philippines
28,40,Hungary,Austria
258,1050,South Africa,Eswatini
258,954,South Africa,Zimbabwe
115,958,Ethiopia,South Sudan
842,794,Oman,Iran
38,215,Italy,Slovenia
39,38,Switzerland,Italy
38,40,Italy,Austria
20,33,Norway,Finland
842,187712,Oman,Emirate of Abu Dhabi
842,878,Oman,United Arab Emirates
258,963,South Africa,Botswana
115,114,Ethiopia,Kenya
790,30,Haiti,United States of America
258,1029,South Africa,Mozambique
258,1030,South Africa,Namibia
115,986,Ethiopia,Eritrea
786,717,Dominican Republic,Venezuela
790,786,Haiti,Dominican Republic
843,668,Pakistan,India
842,851,Oman,Saudi Arabia
794,43,Iran,Turkey
38,237,Italy,Vatican City
28,212,Hungary,Ukraine
20,34,Norway,Sweden
262,29,Algeria,Spain
115,1045,Ethiopia,Somalia
792,774,El Salvador,Guatemala
786,1013066,Dominican Republic,Ouanaminthe
786,30,Dominican Republic,United States of America
851,794,Saudi Arabia,Iran
794,399,Iran,Armenia
38,36704,Italy,Yugoslavia
115,977,Ethiopia,Djibouti
28,214,Hungary,Slovakia
115,7172,Ethiopia,Arab League
851,805,Saudi Arabia,Yemen
794,227,Iran,Azerbaijan
843,794,Pakistan,Iran
843,8285348,Pakistan,Wakhan Corridor
38,238,Italy,San Marino
214,28,Slovakia,Hungary
38,13924,Italy,Adriatic Sea
27,26,Republic of Ireland,Northern Ireland
27,145,Republic of Ireland,United Kingdom
213,40,Czech Republic,Austria
213,36,Czech Republic,Poland
851,810,Saudi Arabia,Jordan
262,38,Algeria,Italy
929,657,Central African Republic,Chad
846,794,Qatar,Iran
